PropertyType,mean,count,cluster
Gas works ,397.4117647058824,136,7
Mill ,397.61467889908255,218,7
Tunnel/ subway ,398.883547008547,936,7
Military/barracks ,399.6054421768707,147,7
Electricity power station ,400.6021717670286,1013,7
Bungalow - single occupancy ,401.0892886345053,6115,7
Other industrial processing plant,401.6353149955634,1127,7
Stately Home (part not open to public),403.84322033898303,236,7
River/canal ,411.0959201388889,4608,15
Lorry/HGV ,411.105609011969,4261,15
Wasteland ,411.2244066171182,4171,15
Freight plane ,412.56666666666666,30,15
Caravan on tow ,414.4347826086956,207,15
Trailer (not attached to tractor unit),414.5460122699387,163,15
Private greenhouse ,414.69736842105266,76,15
Trains - engine shed ,415.6923076923077,78,15
Prison ,416.5537613233557,5078,15
Other animal boarding/breeding establishment,417.99261992619927,271,15
Mine or quarry building above ground,419.2,20,5
Straw/stubble burning ,420.1475409836066,854,5
Nurseries/ market garden ,420.4136363636364,220,5
Canal/riverbank vegetation ,420.6593001841621,1086,5
Grassland/ pasture/ grazing etc ,420.8848183325795,6633,5
Scrub land ,424.2070441720179,5139,5
Animal boarding/breeding establishment - cats,425.95,20,5
Zoo ,426.61224489795916,49,5
Bulk waste storage,426.65602836879435,282,5
Agricultural vehicle,430.17391304347825,207,19
Heathland ,430.2052590266876,2548,19
Fishing boat ,430.77777777777777,27,19
Other merchant vessel ,431.4166666666667,12,19
Bulk hazardous materials storage,433.038961038961,77,19
Towing caravan (not on tow or on site),433.35555555555555,360,19
Theme Park ,434.027397260274,73,19
Greenhouse (commercial) glass ,434.92857142857144,14,19
Woodland/forest - broadleaf/hardwood ,435.0552441953563,1249,19
Rugby Stadium ,435.32026143790847,153,19
False Alarm - Property not found,435.8114953726254,4106,19
Motor racing circuit ,436.27272727272725,11,19
Passenger plane ,436.28665827564504,3178,19
Tennis Courts ,436.31539888682744,539,19
Bulk gas storage,439.48387096774195,62,19
Barge ,439.7579487179487,975,19
Houseboat (permanent dwelling) ,440.1978021978022,455,19
Woodland/forest - conifers/softwood ,442.1438679245283,1272,19
Recycling plant,444.79556962025316,1580,19
Other agricultural building ,446.16470588235296,85,19
Road Tanker ,447.05309734513276,113,19
Golf course (not building on course),447.7363344051447,311,19
Airport - hangar ,450.02952029520293,271,1
Other vessel ,451.6666666666667,588,1
Mine or quarry (not above ground building),452.875,24,1
Lake/pond/reservoir ,453.62304147465437,1085,1
Caravan/Mobile home (permanent dwelling),456.9465648854962,393,1
Large passenger vessel ,458.83660130718954,153,1
Castle (part not open to public),464.0,6,1
Motor yacht ,465.0228310502283,219,1
Airfield/runway ,466.9904761904762,210,1
Agricultural equipment ,467.3392857142857,56,1
Oil refinery ,467.83870967741933,31,1
Intensive Farming Sheds (chickens/ pigs etc) ,467.84444444444443,45,1
